date,revenue,transactions,product_category,store_id,product_id,holiday_flag,promotion_active
2025-02-01,1023.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-02,1030.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-03,1009.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-04,1016.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-06,1030.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-07,1037.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-08,1072.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-09,1079.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-11,1002.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-12,1009.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-13,2860.00,27,Home Goods,STORE_003,HOME_SPIKE,0,1
2025-02-14,1023.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-15,1058.00,24,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-17,210.00,20,Home Goods,STORE_003,HOME_SPIKE,1,0
2025-02-18,1051.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-19,995.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-20,1002.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-21,1009.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-23,1051.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-24,1030.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-25,1037.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-26,1044.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-27,1051.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-02-28,995.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-02,1037.00,24,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-03,1016.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-04,3325.00,26,Home Goods,STORE_003,HOME_SPIKE,0,1
2025-03-05,1030.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-06,1037.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-07,1044.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-08,1079.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-10,1002.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-11,260.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-12,1016.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-13,1023.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-14,1030.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-15,1065.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-16,1072.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-18,995.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-19,1002.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-20,3580.00,27,Home Goods,STORE_003,HOME_SPIKE,0,1
2025-03-21,1016.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-22,1051.00,24,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-23,1058.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-24,1037.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-25,1044.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-27,995.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-28,1002.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-29,1037.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-30,1044.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-03-31,180.00,22,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-01,1030.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-02,1037.00,19,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-03,1044.00,20,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-04,1051.00,21,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-05,1023.00,23,Home Goods,STORE_003,HOME_SPIKE,0,0
2025-04-06,1030.00,24,Home Goods,STORE_003,HOME_SPIKE,0,0
