date,revenue,transactions,product_category,store_id,product_id,holiday_flag,promotion_active
2025-10-01,1952.00,30,Electronics,STORE_001,ELEC_900,0,0
2025-10-01,1792.00,24,Electronics,STORE_002,ELEC_901,0,0
2025-10-01,928.00,45,Grocery,STORE_001,GROC_900,0,0
2025-10-01,864.00,41,Grocery,STORE_002,GROC_901,0,0
2025-10-02,1959.32,31,Electronics,STORE_001,ELEC_900,0,0
2025-10-02,1798.72,25,Electronics,STORE_002,ELEC_901,0,0
2025-10-02,931.48,46,Grocery,STORE_001,GROC_900,0,0
2025-10-02,867.24,42,Grocery,STORE_002,GROC_901,0,0
2025-10-03,2283.84,36,Electronics,STORE_001,ELEC_900,0,1
2025-10-03,2096.64,30,Electronics,STORE_002,ELEC_901,0,1
2025-10-03,1085.76,51,Grocery,STORE_001,GROC_900,0,1
2025-10-03,1010.88,47,Grocery,STORE_002,GROC_901,0,1
2025-10-04,2486.36,40,Electronics,STORE_001,ELEC_900,0,1
2025-10-04,2282.56,34,Electronics,STORE_002,ELEC_901,0,1
2025-10-04,1182.04,55,Grocery,STORE_001,GROC_900,0,1
2025-10-04,1100.52,51,Grocery,STORE_002,GROC_901,0,1
2025-10-05,2176.48,37,Electronics,STORE_001,ELEC_900,0,0
2025-10-05,1998.08,31,Electronics,STORE_002,ELEC_901,0,0
2025-10-05,1034.72,52,Grocery,STORE_001,GROC_900,0,0
2025-10-05,963.36,48,Grocery,STORE_002,GROC_901,0,0
2025-10-06,1988.60,35,Electronics,STORE_001,ELEC_900,0,0
2025-10-06,1825.60,29,Electronics,STORE_002,ELEC_901,0,0
2025-10-06,945.40,50,Grocery,STORE_001,GROC_900,0,0
2025-10-06,880.20,46,Grocery,STORE_002,GROC_901,0,0
2025-10-07,1995.92,30,Electronics,STORE_001,ELEC_900,0,0
2025-10-07,1832.32,24,Electronics,STORE_002,ELEC_901,0,0
2025-10-07,948.88,45,Grocery,STORE_001,GROC_900,0,0
2025-10-07,883.44,41,Grocery,STORE_002,GROC_901,0,0
2025-10-08,2003.24,31,Electronics,STORE_001,ELEC_900,0,0
2025-10-08,1839.04,25,Electronics,STORE_002,ELEC_901,0,0
2025-10-08,952.36,46,Grocery,STORE_001,GROC_900,0,0
2025-10-08,886.68,42,Grocery,STORE_002,GROC_901,0,0
2025-10-09,2010.56,32,Electronics,STORE_001,ELEC_900,0,0
2025-10-09,1845.76,26,Electronics,STORE_002,ELEC_901,0,0
2025-10-09,955.84,47,Grocery,STORE_001,GROC_900,0,0
2025-10-09,889.92,43,Grocery,STORE_002,GROC_901,0,0
2025-10-10,2335.08,37,Electronics,STORE_001,ELEC_900,0,1
2025-10-10,2143.68,31,Electronics,STORE_002,ELEC_901,0,1
2025-10-10,1110.12,52,Grocery,STORE_001,GROC_900,0,1
2025-10-10,1033.56,48,Grocery,STORE_002,GROC_901,0,1
2025-10-11,2537.60,41,Electronics,STORE_001,ELEC_900,0,1
2025-10-11,2329.60,35,Electronics,STORE_002,ELEC_901,0,1
2025-10-11,1206.40,56,Grocery,STORE_001,GROC_900,0,1
2025-10-11,1123.20,52,Grocery,STORE_002,GROC_901,0,1
2025-10-12,2227.72,38,Electronics,STORE_001,ELEC_900,0,0
2025-10-12,2045.12,32,Electronics,STORE_002,ELEC_901,0,0
2025-10-12,1059.08,53,Grocery,STORE_001,GROC_900,0,0
2025-10-12,986.04,49,Grocery,STORE_002,GROC_901,0,0
2025-10-13,2039.84,30,Electronics,STORE_001,ELEC_900,0,0
2025-10-13,1872.64,24,Electronics,STORE_002,ELEC_901,0,0
2025-10-13,969.76,45,Grocery,STORE_001,GROC_900,0,0
2025-10-13,902.88,41,Grocery,STORE_002,GROC_901,0,0
2025-10-14,2047.16,31,Electronics,STORE_001,ELEC_900,0,0
2025-10-14,1879.36,25,Electronics,STORE_002,ELEC_901,0,0
2025-10-14,973.24,46,Grocery,STORE_001,GROC_900,0,0
2025-10-14,906.12,42,Grocery,STORE_002,GROC_901,0,0
2025-10-15,2054.48,32,Electronics,STORE_001,ELEC_900,0,0
2025-10-15,1886.08,26,Electronics,STORE_002,ELEC_901,0,0
2025-10-15,976.72,47,Grocery,STORE_001,GROC_900,0,0
2025-10-15,909.36,43,Grocery,STORE_002,GROC_901,0,0
2025-10-16,2061.80,33,Electronics,STORE_001,ELEC_900,0,0
2025-10-16,1892.80,27,Electronics,STORE_002,ELEC_901,0,0
2025-10-16,980.20,48,Grocery,STORE_001,GROC_900,0,0
2025-10-16,912.60,44,Grocery,STORE_002,GROC_901,0,0
2025-10-17,2386.32,38,Electronics,STORE_001,ELEC_900,0,1
2025-10-17,2190.72,32,Electronics,STORE_002,ELEC_901,0,1
2025-10-17,1134.48,53,Grocery,STORE_001,GROC_900,0,1
