date,revenue,transactions,product_category,store_id,product_id,holiday_flag,promotion_active
2025-01-01,1176.00,18,Electronics,STORE_001,ELEC_101,1,0
2025-01-02,976.00,19,Home Goods,STORE_002,HOME_202,0,0
2025-01-03,1136.00,23,Clothing,STORE_003,CLTH_303,0,1
2025-01-04,1246.00,26,Electronics,STORE_001,ELEC_101,0,1
2025-01-05,1126.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-01-05,1126.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-01-06,996.00,23,Clothing,STORE_003,CLTH_303,0,0
2025-01-07,1016.00,24,Electronics,STORE_001,ELEC_101,0,0
2025-01-08,1036.00,18,Home Goods,STORE_002,HOME_202,0,0
2025-01-09,1056.00,19,Clothing,STORE_003,CLTH_303,0,0
2025-01-10,1216.00,23,Electronics,STORE_001,ELEC_101,0,1
2025-01-11,1266.00,26,Home Goods,STORE_002,HOME_202,0,1
2025-01-12,1146.00,24,Clothing,STORE_003,CLTH_303,0,0
2025-01-13,1076.00,23,Electronics,STORE_001,ELEC_101,0,0
2025-01-14,1096.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-01-15,1116.00,18,Clothing,STORE_003,CLTH_303,0,0
2025-01-16,1076.00,19,Electronics,STORE_001,ELEC_101,0,0
2025-01-17,1236.00,23,Home Goods,STORE_002,HOME_202,0,1
2025-01-18,1346.00,26,Clothing,STORE_003,CLTH_303,0,1
2025-01-19,1226.00,24,Electronics,STORE_001,ELEC_101,0,0
2025-01-20,1376.00,23,Home Goods,STORE_002,HOME_202,1,0
2025-01-21,1116.00,24,Clothing,STORE_003,CLTH_303,0,0
2025-01-22,1136.00,18,Electronics,STORE_001,ELEC_101,0,0
2025-01-23,1156.00,19,Home Goods,STORE_002,HOME_202,0,0
2025-01-24,1316.00,23,Clothing,STORE_003,CLTH_303,0,1
2025-01-25,1426.00,26,Electronics,STORE_001,ELEC_101,0,1
2025-01-26,1246.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-01-27,1176.00,23,Clothing,STORE_003,CLTH_303,0,0
2025-01-28,1196.00,24,Electronics,STORE_001,ELEC_101,0,0
2025-01-29,1216.00,18,Home Goods,STORE_002,HOME_202,0,0
2025-01-30,1236.00,19,Clothing,STORE_003,CLTH_303,0,0
2025-01-31,1336.00,23,Electronics,STORE_001,ELEC_101,0,1
2025-02-01,1446.00,26,Home Goods,STORE_002,HOME_202,0,1
2025-02-02,1326.00,24,Clothing,STORE_003,CLTH_303,0,0
2025-02-03,1256.00,23,Electronics,STORE_001,ELEC_101,0,0
2025-02-04,1276.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-02-05,1236.00,18,Clothing,STORE_003,CLTH_303,0,0
2025-02-06,1256.00,19,Electronics,STORE_001,ELEC_101,0,0
2025-02-07,1416.00,23,Home Goods,STORE_002,HOME_202,0,1
2025-02-08,1526.00,26,Clothing,STORE_003,CLTH_303,0,1
2025-02-09,1406.00,24,Electronics,STORE_001,ELEC_101,0,0
2025-02-10,1276.00,23,Home Goods,STORE_002,HOME_202,0,0
2025-02-11,1296.00,24,Clothing,STORE_003,CLTH_303,0,0
2025-02-12,1316.00,18,Electronics,STORE_001,ELEC_101,0,0
2025-02-13,1336.00,19,Home Goods,STORE_002,HOME_202,0,0
2025-02-14,1496.00,23,Clothing,STORE_003,CLTH_303,0,1
2025-02-15,1546.00,26,Electronics,STORE_001,ELEC_101,0,1
2025-02-16,1426.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-02-17,1576.00,23,Clothing,STORE_003,CLTH_303,1,0
2025-02-18,1376.00,24,Electronics,STORE_001,ELEC_101,0,0
2025-02-19,1396.00,18,Home Goods,STORE_002,HOME_202,0,0
2025-02-20,1356.00,19,Clothing,STORE_003,CLTH_303,0,0
2025-02-21,1516.00,23,Electronics,STORE_001,ELEC_101,0,1
2025-02-22,1626.00,26,Home Goods,STORE_002,HOME_202,0,1
2025-02-23,1506.00,24,Clothing,STORE_003,CLTH_303,0,0
2025-02-24,1436.00,23,Electronics,STORE_001,ELEC_101,0,0
2025-02-25,1396.00,24,Home Goods,STORE_002,HOME_202,0,0
2025-02-26,1416.00,18,Clothing,STORE_003,CLTH_303,0,0
2025-02-27,1436.00,19,Electronics,STORE_001,ELEC_101,0,0
2025-02-28,1596.00,23,Home Goods,STORE_002,HOME_202,0,1
2025-03-01,1706.00,26,Clothing,STORE_003,CLTH_303,0,1
2025-01-18,,21,Beauty,STORE_001,BEAU_401,0,0
invalid-date,1340.00,17,Grocery,STORE_002,GROC_501,0,0
2025-02-03,-225.00,6,Returns,STORE_002,RET_001,0,0
2025-02-11,1485.00,bad,Beauty,STORE_003,BEAU_402,0,0
2025-02-19,1510.00,-4,Grocery,STORE_001,GROC_502,0,0
